"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","2026-02-09 23:08:18","2026-02-10 00:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 23:08:17","2026-02-10 00:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 23:08:16","2026-02-10 00:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 23:08:15","2026-02-10 00:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central, staging"
"Warning","2026-02-09 23:08:14","2026-02-10 00:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 23:08:13","2026-02-10 00:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 23:08:12","2026-02-10 00:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 21:08:25","2026-02-09 22:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 21:08:24","2026-02-09 22:03:21","RESOLVED","ETH","Network code CH missing in central routing for webservice station","54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-02-09 21:08:23","2026-02-09 22:03:20","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 21:08:22","2026-02-09 22:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 21:08:21","2026-02-09 22:03:18","RESOLVED","ODC","Network code NL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 21:08:20","2026-02-09 22:03:17","RESOLVED","INGV","Network code BA missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 21:08:19","2026-02-09 22:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 21:08:18","2026-02-09 22:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 21:08:17","2026-02-09 22:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 21:08:16","2026-02-09 22:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 21:08:15","2026-02-09 22:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central, staging"
"Warning","2026-02-09 21:08:14","2026-02-09 22:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 21:08:13","2026-02-09 22:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 21:08:12","2026-02-09 22:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 19:08:25","2026-02-09 20:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 19:08:24","2026-02-09 20:03:21","RESOLVED","ETH","Network code CH missing in central routing for webservice station","54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-02-09 19:08:23","2026-02-09 20:03:20","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 19:08:22","2026-02-09 20:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 19:08:21","2026-02-09 20:03:18","RESOLVED","ODC","Network code NL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 19:08:20","2026-02-09 20:03:17","RESOLVED","INGV","Network code BA missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 19:08:19","2026-02-09 20:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 19:08:18","2026-02-09 20:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 19:08:17","2026-02-09 20:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 19:08:16","2026-02-09 20:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-09 19:08:15","2026-02-09 20:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central, staging"
"Warning","2026-02-09 19:08:14","2026-02-09 20:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 19:08:13","2026-02-09 20:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-09 19:08:12","2026-02-09 20:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
